timestep,portfolio_value,portfolio_value_usd,cash,cash_usd,capacity_value,capacity_value_usd,wind_capacity,solar_capacity,hydro_capacity,battery_soc,battery_action,battery_revenue,operational_revenue,cash_return,noise_return,step_return,investments,total_investment_cost,price,wind_gen,solar_gen,hydro_gen,num_investments
6868,5547496774.246204,804387032.2656996,1133699431.3533187,164386417.5462312,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8979166666666747,idle,0.0,6381.9037206522125,431.39231353158493,-550740.5527235164,1.2281763613405353e-06,[],0.0,1089.5637473333334,341.257,87.9306,279.711,0
6869,5547503694.219984,804388035.6618977,1133706351.3270986,164387420.94242927,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8979166666666747,idle,0.0,6488.578833191017,431.394946701732,496057.29643987946,1.2474047415049886e-06,[],0.0,1124.5124331666666,336.178,93.2131,315.035,0
6870,5547515545.868046,804389754.1508666,1133718202.975161,164389139.43139833,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8562500000000081,discharge,4831.087995833333,6589.16061020355,431.3994564595527,-117528.20767569607,2.1363930003508974e-06,[],0.0,1159.461119,331.099,81.7932,402.178,0
6871,5547528149.8954,804391581.734833,1133730807.0025148,164390967.01536465,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.8145833333333414,discharge,5173.923415972221,6998.699685224591,431.4042525107543,656931.5342684112,2.2720129849168735e-06,[],0.0,1241.7416198333333,328.375,80.6513,301.786,0
6872,5547541498.608366,804393517.298213,1133744155.7154808,164392902.5787447,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.7729166666666748,discharge,5516.758836111111,7400.544797834927,431.4093319277583,610938.4909536768,2.4062451970103053e-06,[],0.0,1324.0221206666668,325.651,69.7557,384.972,0
6873,5547555584.313262,804395559.725423,1133758241.4203768,164394945.00595462,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.7312500000000082,discharge,5859.5942562499995,7794.695948034552,431.4146917829852,832679.1445854255,2.539089594824426e-06,[],0.0,1406.3026215,322.927,64.4883,300.788,0
6874,5547570399.316403,804397707.9008784,1133773056.423518,164397093.1814101,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6895833333333415,discharge,6202.429676388888,8181.153135823469,431.4203291488542,-1056193.222484024,2.6705461380676122e-06,[],0.0,1488.5831223333332,320.203,56.0313,358.478,0
6875,5547585935.924102,804399960.7089947,1133788593.0312166,164399345.9895264,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6479166666666749,discharge,6545.265096527776,8559.91636120168,431.42624109778365,956323.5203781646,2.800614788116081e-06,[],0.0,1570.8636231666665,317.479,56.6993,284.748,0
6876,5547602186.442667,804402317.0341866,1133804843.549782,164401702.3147184,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.6062500000000083,discharge,6888.1005166666655,8930.985624169181,431.4324247021907,-676903.8842088481,2.929295508510397e-06,[],0.0,1653.144124,314.755,47.6865,321.961,0
6877,5547618901.613192,804404740.7339127,1133821558.7203069,164404126.01444447,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.5645833333333417,discharge,7143.957861111111,9139.773878556463,431.4387851147343,-251346.4631623978,3.013044187891845e-06,[],0.0,1714.549886666667,310.577,44.2861,274.974,0
6878,5547636072.628939,804407230.531196,1133838729.7360535,164406615.81172773,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.522916666666675,discharge,7399.815205555554,9339.755222181462,431.4453189842978,1271511.398719442,3.0952046367275076e-06,[],0.0,1775.9556493333332,306.399,41.187,403.612,0
6879,5547653690.65163,804409785.1444863,1133856347.7587452,164409170.42501804,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.4812500000000084,discharge,7655.672549999998,9530.898118752346,431.4520229477634,774860.588642991,3.175771168309131e-06,[],0.0,1837.361412,302.22,37.4799,296.618,0
6880,5547671746.905005,804412403.3012258,1133874404.0121202,164411788.58175743,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.43958333333334176,discharge,7911.529894444444,9713.264586890271,431.4588936656113,33595.165617730774,3.2547549616300055e-06,[],0.0,1898.7671746666667,298.042,30.7289,253.906,0
6881,5547690232.582316,804415083.7244358,1133892889.6894314,164414469.00496754,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.39791666666667513,discharge,8167.387238888888,9886.82414426592,431.4659277867213,995801.8844793797,3.332150522650622e-06,[],0.0,1960.1729373333333,293.864,29.8528,249.851,0
6882,5547709138.842114,804417825.1321065,1133911795.9492295,164417210.41263828,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3562500000000085,discharge,8423.244583333333,10051.542092699914,431.47312194676846,-323825.8330177582,3.407951598849368e-06,[],0.0,2021.5787,289.685,28.1433,326.798,0
6883,5547727331.858456,804420463.119476,1133929988.965571,164419848.40000778,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.3145833333333419,discharge,8135.010068749999,9626.52622810662,431.4800447052992,65333.320360456906,3.279374582533819e-06,[],0.0,1952.4024165,287.266,23.7258,308.07,0
6884,5547744817.375399,804422998.5194328,1133947474.4825134,164422383.79996443,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.27291666666667524,discharge,7846.775554166665,9207.254690118223,431.4866982480271,830020.9853230617,3.1518342371596624e-06,[],0.0,1883.226133,284.847,21.2982,363.313,0
6885,5547761601.137001,804425432.1648651,1133964258.2441163,164424817.44539684,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.2312500000000086,discharge,7558.541039583332,8793.727478734712,431.49308476066653,-834902.4671862483,3.025330500032267e-06,[],0.0,1814.0498495,282.428,19.2822,319.024,0
6886,5547777688.887327,804427764.8886623,1133980345.9944417,164427150.16919404,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.18958333333334193,discharge,7270.306524999999,8385.9445939561,431.4992064289327,-378186.8482234123,2.8998633111522796e-06,[],0.0,1744.873566,280.009,16.825,388.982,0
6887,5547793086.370439,804429997.5237136,1133995743.4775536,164429382.80424526,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.14791666666667527,discharge,6982.072010416666,7983.906035782371,431.5050654385419,247127.09207596895,2.7754326101105324e-06,[],0.0,1675.6972825,277.59,14.1722,311.316,0
6888,5547807799.302829,804432130.8989102,1134010456.4099433,164431516.17944178,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.10625000000000862,discharge,6693.8374958333325,7587.584230044006,431.51066396471816,131523.70170345972,2.652033369153414e-06,[],0.0,1606.520999,275.17,13.1218,381.815,0
6889,5547821985.272922,804434187.8645736,1134024642.3800366,164433573.1451053,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.06458333333334196,discharge,6499.574474999999,7254.8795560806375,431.51606197259304,401505.52841375757,2.557040655690367e-06,[],0.0,1559.897874,270.968,0.0,282.767,0
6890,5547835651.005693,804436169.3958255,1134038308.1128078,164435554.67635712,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,discharge,6305.311454166666,6928.9000550757755,431.5212620211361,1223526.815985762,2.463260863118916e-06,[],0.0,1513.2747490000002,266.766,0.0,255.132,0
