valid_time,u100,v100,wind_speed_100m,number,expver
2018-01-06 23:00:00,-5.459675,-4.9745407,7.386075,0,0001
2018-01-07 00:00:00,-5.398924,-4.307147,6.906511,0,0001
2018-01-07 01:00:00,-5.066779,-3.4724665,6.1424975,0,0001
2018-01-07 02:00:00,-4.471448,-2.3903952,5.0702896,0,0001
2018-01-07 03:00:00,-3.6510172,-1.5233288,3.956066,0,0001
2018-01-07 04:00:00,-2.8813047,-1.1602106,3.106124,0,0001
2018-01-07 05:00:00,-2.3105192,-0.6579142,2.4023635,0,0001
2018-01-07 06:00:00,-1.6090918,0.02355256,1.6092641,0,0001
2018-01-07 07:00:00,-0.9346692,0.4692573,1.0458531,0,0001
2018-01-07 08:00:00,-0.48977113,0.94588757,1.0651662,0,0001
2018-01-07 09:00:00,-0.17037725,1.9882946,1.9955812,0,0001
2018-01-07 10:00:00,0.35144305,2.170249,2.1985207,0,0001
2018-01-07 11:00:00,1.326333,2.1642056,2.5382955,0,0001
2018-01-07 12:00:00,1.8959284,2.4492998,3.097356,0,0001
2018-01-07 13:00:00,1.9690065,2.5956573,3.2579784,0,0001
2018-01-07 14:00:00,2.38406,1.4398966,2.785147,0,0001
2018-01-07 15:00:00,2.414648,0.62046164,2.4930902,0,0001
2018-01-07 16:00:00,2.2748222,0.09320712,2.276731,0,0001
2018-01-07 17:00:00,2.138444,-0.19161588,2.1470118,0,0001
2018-01-07 18:00:00,1.915103,-0.47393286,1.9728739,0,0001
2018-01-07 19:00:00,1.7594385,-0.028827906,1.7596747,0,0001
2018-01-07 20:00:00,1.7450342,0.85906976,1.9450309,0,0001
2018-01-07 21:00:00,1.7480936,1.5737219,2.352112,0,0001
2018-01-07 22:00:00,1.3731956,2.6677942,3.0004654,0,0001
2018-01-07 23:00:00,1.1726179,2.347969,2.6244984,0,0001
2018-01-08 00:00:00,0.7417203,1.462244,1.6396056,0,0001
2018-01-08 01:00:00,-0.032433134,1.8832407,1.88352,0,0001
2018-01-08 02:00:00,-0.6629148,2.1019068,2.2039664,0,0001
2018-01-08 03:00:00,-1.105485,2.692998,2.911071,0,0001
2018-01-08 04:00:00,-1.6052122,3.2882938,3.6591778,0,0001
2018-01-08 05:00:00,-1.9061966,3.4202433,3.915565,0,0001
2018-01-08 06:00:00,-2.342206,3.3171825,4.0607424,0,0001
2018-01-08 07:00:00,-2.8856077,2.901308,4.0919824,0,0001
2018-01-08 08:00:00,-3.670313,2.2023344,4.280359,0,0001
2018-01-08 09:00:00,-4.298731,2.4000902,4.9233646,0,0001
2018-01-08 10:00:00,-4.944338,3.3525763,5.9737964,0,0001
2018-01-08 11:00:00,-5.635295,3.594984,6.6843443,0,0001
2018-01-08 12:00:00,-6.235405,3.401863,7.103024,0,0001
2018-01-08 13:00:00,-6.857457,3.4549665,7.67864,0,0001
2018-01-08 14:00:00,-7.498148,3.3554296,8.21469,0,0001
2018-01-08 15:00:00,-8.07723,3.3344164,8.7384205,0,0001
2018-01-08 16:00:00,-8.730906,3.4707355,9.395463,0,0001
2018-01-08 17:00:00,-9.653582,3.5732632,10.29368,0,0001
