timestep,portfolio_value_usd,total_return,cash_usd,capacity_value_usd,wind_capacity_mw,solar_capacity_mw,hydro_capacity_mw,battery_soc,risk_free_return,method
126,800038357.0765898,4.794634573727846e-05,800038357.0765898,0.0,0.0,0.0,0.0,0.0,38357.07658982277,Buy-and-Hold Strategy
127,800038661.5051883,4.832688148543239e-05,800038661.5051883,0.0,0.0,0.0,0.0,0.0,38661.50518834591,Buy-and-Hold Strategy
128,800038965.9339027,4.87074173784256e-05,800038965.9339027,0.0,0.0,0.0,0.0,0.0,38965.93390274048,Buy-and-Hold Strategy
129,800039270.3627329,4.908795341610908e-05,800039270.3627329,0.0,0.0,0.0,0.0,0.0,39270.36273288727,Buy-and-Hold Strategy
130,800039574.7916789,4.946848959863186e-05,800039574.7916789,0.0,0.0,0.0,0.0,0.0,39574.79167890549,Buy-and-Hold Strategy
131,800039879.2207408,4.984902592599392e-05,800039879.2207408,0.0,0.0,0.0,0.0,0.0,39879.220740795135,Buy-and-Hold Strategy
132,800040183.6499186,5.0229562398195264e-05,800040183.6499186,0.0,0.0,0.0,0.0,0.0,40183.64991855621,Buy-and-Hold Strategy
133,800040488.0792121,5.061009901508689e-05,800040488.0792121,0.0,0.0,0.0,0.0,0.0,40488.07921206951,Buy-and-Hold Strategy
134,800040792.5086215,5.09906357768178e-05,800040792.5086215,0.0,0.0,0.0,0.0,0.0,40792.50862145424,Buy-and-Hold Strategy
135,800041096.9381467,5.1371172683387995e-05,800041096.9381467,0.0,0.0,0.0,0.0,0.0,41096.938146710396,Buy-and-Hold Strategy
136,800041401.3677878,5.1751709734797476e-05,800041401.3677878,0.0,0.0,0.0,0.0,0.0,41401.36778783798,Buy-and-Hold Strategy
137,800041705.7975447,5.213224693089723e-05,800041705.7975447,0.0,0.0,0.0,0.0,0.0,41705.79754471779,Buy-and-Hold Strategy
138,800042010.2274175,5.2512784271836284e-05,800042010.2274175,0.0,0.0,0.0,0.0,0.0,42010.227417469025,Buy-and-Hold Strategy
139,800042314.6574061,5.2893321757614615e-05,800042314.6574061,0.0,0.0,0.0,0.0,0.0,42314.65740609169,Buy-and-Hold Strategy
140,800042619.0875106,5.327385938823223e-05,800042619.0875106,0.0,0.0,0.0,0.0,0.0,42619.087510585785,Buy-and-Hold Strategy
141,800042923.5177308,5.3654397163540125e-05,800042923.5177308,0.0,0.0,0.0,0.0,0.0,42923.5177308321,Buy-and-Hold Strategy
142,800043227.948067,5.4034935083687305e-05,800043227.948067,0.0,0.0,0.0,0.0,0.0,43227.948066949844,Buy-and-Hold Strategy
143,800043532.3785189,5.441547314867377e-05,800043532.3785189,0.0,0.0,0.0,0.0,0.0,43532.37851893902,Buy-and-Hold Strategy
144,800043836.8090868,5.4796011358499524e-05,800043836.8090868,0.0,0.0,0.0,0.0,0.0,43836.80908679962,Buy-and-Hold Strategy
145,800044141.2397704,5.5176549713015554e-05,800044141.2397704,0.0,0.0,0.0,0.0,0.0,44141.239770412445,Buy-and-Hold Strategy
146,800044445.6705699,5.555708821237087e-05,800044445.6705699,0.0,0.0,0.0,0.0,0.0,44445.6705698967,Buy-and-Hold Strategy
147,800044750.1014853,5.593762685656548e-05,800044750.1014853,0.0,0.0,0.0,0.0,0.0,44750.10148525238,Buy-and-Hold Strategy
148,800045054.5325165,5.631816564559937e-05,800045054.5325165,0.0,0.0,0.0,0.0,0.0,45054.53251647949,Buy-and-Hold Strategy
149,800045358.9636635,5.669870457932353e-05,800045358.9636635,0.0,0.0,0.0,0.0,0.0,45358.963663458824,Buy-and-Hold Strategy
150,800045663.3949263,5.7079243657886985e-05,800045663.3949263,0.0,0.0,0.0,0.0,0.0,45663.394926309586,Buy-and-Hold Strategy
151,800045967.826305,5.7459782881289723e-05,800045967.826305,0.0,0.0,0.0,0.0,0.0,45967.82630503178,Buy-and-Hold Strategy
152,800046272.2577996,5.784032224953175e-05,800046272.2577996,0.0,0.0,0.0,0.0,0.0,46272.2577996254,Buy-and-Hold Strategy
153,800046576.68941,5.822086176246405e-05,800046576.68941,0.0,0.0,0.0,0.0,0.0,46576.68940997124,Buy-and-Hold Strategy
154,800046881.1211362,5.860140142023563e-05,800046881.1211362,0.0,0.0,0.0,0.0,0.0,46881.12113618851,Buy-and-Hold Strategy
155,800047185.5529783,5.8981941222846505e-05,800047185.5529783,0.0,0.0,0.0,0.0,0.0,47185.55297827721,Buy-and-Hold Strategy
156,800047489.9849362,5.9362481170296666e-05,800047489.9849362,0.0,0.0,0.0,0.0,0.0,47489.984936237335,Buy-and-Hold Strategy
157,800047794.41701,5.9743021262437104e-05,800047794.41701,0.0,0.0,0.0,0.0,0.0,47794.417009949684,Buy-and-Hold Strategy
158,800048098.8491995,6.012356149941683e-05,800048098.8491995,0.0,0.0,0.0,0.0,0.0,48098.84919953346,Buy-and-Hold Strategy
159,800048403.281505,6.050410188123584e-05,800048403.281505,0.0,0.0,0.0,0.0,0.0,48403.28150498867,Buy-and-Hold Strategy
160,800048707.7139263,6.0884642407894135e-05,800048707.7139263,0.0,0.0,0.0,0.0,0.0,48707.71392631531,Buy-and-Hold Strategy
161,800049012.1464634,6.12651830792427e-05,800049012.1464634,0.0,0.0,0.0,0.0,0.0,49012.146463394165,Buy-and-Hold Strategy
162,800049316.5791163,6.164572389543056e-05,800049316.5791163,0.0,0.0,0.0,0.0,0.0,49316.57911634445,Buy-and-Hold Strategy
163,800049621.0118852,6.202626485645771e-05,800049621.0118852,0.0,0.0,0.0,0.0,0.0,49621.01188516617,Buy-and-Hold Strategy
164,800049925.4447699,6.240680596232414e-05,800049925.4447699,0.0,0.0,0.0,0.0,0.0,49925.444769859314,Buy-and-Hold Strategy
165,800050229.8777703,6.278734721288085e-05,800050229.8777703,0.0,0.0,0.0,0.0,0.0,50229.87777030468,Buy-and-Hold Strategy
166,800050534.3108866,6.316788860827685e-05,800050534.3108866,0.0,0.0,0.0,0.0,0.0,50534.310886621475,Buy-and-Hold Strategy
167,800050838.7441188,6.354843014851213e-05,800050838.7441188,0.0,0.0,0.0,0.0,0.0,50838.7441188097,Buy-and-Hold Strategy
168,800051143.1774669,6.39289718335867e-05,800051143.1774669,0.0,0.0,0.0,0.0,0.0,51143.177466869354,Buy-and-Hold Strategy
169,800051447.6109307,6.430951366335154e-05,800051447.6109307,0.0,0.0,0.0,0.0,0.0,51447.61093068123,Buy-and-Hold Strategy
170,800051752.0445104,6.469005563795566e-05,800051752.0445104,0.0,0.0,0.0,0.0,0.0,51752.04451036453,Buy-and-Hold Strategy
171,800052056.4782059,6.507059775739908e-05,800052056.4782059,0.0,0.0,0.0,0.0,0.0,52056.478205919266,Buy-and-Hold Strategy
172,800052360.9120173,6.545114002168178e-05,800052360.9120173,0.0,0.0,0.0,0.0,0.0,52360.91201734543,Buy-and-Hold Strategy
173,800052665.3459445,6.583168243065477e-05,800052665.3459445,0.0,0.0,0.0,0.0,0.0,52665.34594452381,Buy-and-Hold Strategy
174,800052969.7799876,6.621222498446703e-05,800052969.7799876,0.0,0.0,0.0,0.0,0.0,52969.779987573624,Buy-and-Hold Strategy
175,800053274.2141465,6.659276768311859e-05,800053274.2141465,0.0,0.0,0.0,0.0,0.0,53274.214146494865,Buy-and-Hold Strategy
176,800053578.6484213,6.697331052660941e-05,800053578.6484213,0.0,0.0,0.0,0.0,0.0,53578.64842128754,Buy-and-Hold Strategy
177,800053883.0828118,6.735385351479053e-05,800053883.0828118,0.0,0.0,0.0,0.0,0.0,53883.08281183243,Buy-and-Hold Strategy
178,800054187.5173182,6.773439664781094e-05,800054187.5173182,0.0,0.0,0.0,0.0,0.0,54187.51731824875,Buy-and-Hold Strategy
179,800054491.9519405,6.811493992567063e-05,800054491.9519405,0.0,0.0,0.0,0.0,0.0,54491.9519405365,Buy-and-Hold Strategy
180,800054796.3866787,6.84954833483696e-05,800054796.3866787,0.0,0.0,0.0,0.0,0.0,54796.38667869568,Buy-and-Hold Strategy
181,800055100.8215326,6.887602691575884e-05,800055100.8215326,0.0,0.0,0.0,0.0,0.0,55100.82153260708,Buy-and-Hold Strategy
182,800055405.2565024,6.925657062798738e-05,800055405.2565024,0.0,0.0,0.0,0.0,0.0,55405.25650238991,Buy-and-Hold Strategy
183,800055709.691588,6.963711448505521e-05,800055709.691588,0.0,0.0,0.0,0.0,0.0,55709.69158804417,Buy-and-Hold Strategy
184,800056014.1267896,7.001765848696232e-05,800056014.1267896,0.0,0.0,0.0,0.0,0.0,56014.126789569855,Buy-and-Hold Strategy
185,800056318.562107,7.039820263370872e-05,800056318.562107,0.0,0.0,0.0,0.0,0.0,56318.56210696697,Buy-and-Hold Strategy
186,800056622.9975401,7.077874692514538e-05,800056622.9975401,0.0,0.0,0.0,0.0,0.0,56622.99754011631,Buy-and-Hold Strategy
187,800056927.4330891,7.115929136142135e-05,800056927.4330891,0.0,0.0,0.0,0.0,0.0,56927.43308913708,Buy-and-Hold Strategy
188,800057231.868754,7.15398359425366e-05,800057231.868754,0.0,0.0,0.0,0.0,0.0,57231.868754029274,Buy-and-Hold Strategy
189,800057536.3045348,7.192038066849113e-05,800057536.3045348,0.0,0.0,0.0,0.0,0.0,57536.3045347929,Buy-and-Hold Strategy
190,800057840.7404313,7.230092553913593e-05,800057840.7404313,0.0,0.0,0.0,0.0,0.0,57840.740431308746,Buy-and-Hold Strategy
191,800058145.1764437,7.268147055462003e-05,800058145.1764437,0.0,0.0,0.0,0.0,0.0,58145.17644369602,Buy-and-Hold Strategy
192,800058449.612572,7.306201571494341e-05,800058449.612572,0.0,0.0,0.0,0.0,0.0,58449.61257195473,Buy-and-Hold Strategy
193,800058754.0488161,7.344256102010608e-05,800058754.0488161,0.0,0.0,0.0,0.0,0.0,58754.04881608486,Buy-and-Hold Strategy
194,800059058.485176,7.382310646995902e-05,800059058.485176,0.0,0.0,0.0,0.0,0.0,59058.48517596722,Buy-and-Hold Strategy
195,800059362.9216517,7.420365206465125e-05,800059362.9216517,0.0,0.0,0.0,0.0,0.0,59362.921651721,Buy-and-Hold Strategy
196,800059667.3582433,7.458419780418277e-05,800059667.3582433,0.0,0.0,0.0,0.0,0.0,59667.358243346214,Buy-and-Hold Strategy
197,800059971.7949508,7.496474368855357e-05,800059971.7949508,0.0,0.0,0.0,0.0,0.0,59971.79495084286,Buy-and-Hold Strategy
198,800060276.2317741,7.534528971761465e-05,800060276.2317741,0.0,0.0,0.0,0.0,0.0,60276.23177409172,Buy-and-Hold Strategy
199,800060580.6687132,7.572583589151502e-05,800060580.6687132,0.0,0.0,0.0,0.0,0.0,60580.66871321201,Buy-and-Hold Strategy
200,800060885.1057682,7.610638221025466e-05,800060885.1057682,0.0,0.0,0.0,0.0,0.0,60885.105768203735,Buy-and-Hold Strategy
201,800061189.5429391,7.64869286738336e-05,800061189.5429391,0.0,0.0,0.0,0.0,0.0,61189.54293906689,Buy-and-Hold Strategy
